sport,league,season_year,date,event_id,competition_id,away_team,home_team,num_wp_points,ei_raw
MLB,MLB,2021,2021-03-15,401288962,401288962,Boston Red Sox,Tampa Bay Rays,73,0.081960
MLB,MLB,2021,2021-03-15,401288963,401288963,Miami Marlins,Houston Astros,76,0.055760
MLB,MLB,2021,2021-03-15,401288964,401288964,Minnesota Twins,Atlanta Braves,76,0.032020
MLB,MLB,2021,2021-03-15,401288966,401288966,Pittsburgh Pirates,Baltimore Orioles,81,0.055420
MLB,MLB,2021,2021-03-15,401288967,401288967,Toronto Blue Jays,Detroit Tigers,70,0.040680
MLB,MLB,2021,2021-03-15,401288968,401288968,Washington Nationals,St. Louis Cardinals,65,0.048500
MLB,MLB,2021,2021-03-15,401288970,401288970,Chicago Cubs,Chicago White Sox,18,0.033940
MLB,MLB,2021,2021-03-15,401288973,401288973,Oakland Athletics,Cleveland Indians,77,0.062980
MLB,MLB,2021,2021-03-15,401288975,401288975,San Francisco Giants,Kansas City Royals,62,0.010140
MLB,MLB,2021,2021-03-15,401288969,401288969,Arizona Diamondbacks,Seattle Mariners,78,0.046000
MLB,MLB,2021,2021-03-15,401288971,401288971,Cincinnati Reds,Los Angeles Angels,63,0.031080
MLB,MLB,2021,2021-03-15,401288972,401288972,Los Angeles Dodgers,Colorado Rockies,72,0.010900
MLB,MLB,2021,2021-03-15,401288974,401288974,San Diego Padres,Milwaukee Brewers,68,0.011240
MLB,MLB,2021,2021-03-16,401288976,401288976,Atlanta Braves,Boston Red Sox,74,0.062560
MLB,MLB,2021,2021-03-16,401288977,401288977,Baltimore Orioles,Tampa Bay Rays,64,0.020100
MLB,MLB,2021,2021-03-16,401288978,401288978,New York Yankees,Detroit Tigers,78,0.038980
MLB,MLB,2021,2021-03-16,401288981,401288981,Pittsburgh Pirates,Minnesota Twins,76,0.035780
MLB,MLB,2021,2021-03-16,401288982,401288982,Toronto Blue Jays,Philadelphia Phillies,85,0.030340
MLB,MLB,2021,2021-03-16,401288984,401288984,Cleveland Indians,Los Angeles Angels,90,0.051180
MLB,MLB,2021,2021-03-16,401288980,401288980,Miami Marlins,Washington Nationals,70,0.052240
MLB,MLB,2021,2021-03-16,401288985,401288985,Colorado Rockies,Cincinnati Reds,90,0.032060
MLB,MLB,2021,2021-03-16,401288988,401288988,Seattle Mariners,Kansas City Royals,85,0.017020
MLB,MLB,2021,2021-03-16,401288989,401288989,Texas Rangers,San Francisco Giants,83,0.058240
MLB,MLB,2021,2021-03-17,401288991,401288991,Detroit Tigers,Philadelphia Phillies,65,0.043780
MLB,MLB,2021,2021-03-17,401288992,401288992,Minnesota Twins,Boston Red Sox,73,0.021140
MLB,MLB,2021,2021-03-17,401288994,401288994,New York Mets,Miami Marlins,63,0.073900
MLB,MLB,2021,2021-03-17,401288996,401288996,Tampa Bay Rays,Pittsburgh Pirates,91,0.071040
MLB,MLB,2021,2021-03-17,401288993,401288993,New York Yankees,Toronto Blue Jays,70,0.050640
MLB,MLB,2021,2021-03-17,401289000,401289000,Kansas City Royals,Oakland Athletics,74,0.047420
MLB,MLB,2021,2021-03-17,401289001,401289001,Los Angeles Dodgers,Chicago White Sox,77,0.057900
MLB,MLB,2021,2021-03-17,401289003,401289003,San Francisco Giants,Colorado Rockies,93,0.077580
MLB,MLB,2021,2021-03-17,401288990,401288990,Atlanta Braves,Baltimore Orioles,69,0.044580
MLB,MLB,2021,2021-03-17,401288995,401288995,St. Louis Cardinals,Houston Astros,75,0.076880
MLB,MLB,2021,2021-03-17,401288998,401288998,Arizona Diamondbacks,Texas Rangers,61,0.022460
MLB,MLB,2021,2021-03-17,401288999,401288999,Cleveland Indians,Cincinnati Reds,96,0.039060
MLB,MLB,2021,2021-03-17,401289002,401289002,San Diego Padres,Chicago Cubs,76,0.034020
MLB,MLB,2021,2021-03-17,401288997,401288997,Los Angeles Angels,Seattle Mariners,64,0.034740
MLB,MLB,2021,2021-03-18,401289005,401289005,Washington Nationals,New York Mets,63,0.047580
MLB,MLB,2021,2021-03-18,401289006,401289006,Chicago Cubs,Cleveland Indians,75,0.068840
MLB,MLB,2021,2021-03-18,401289008,401289008,Kansas City Royals,Chicago White Sox,81,0.075640
MLB,MLB,2021,2021-03-18,401289009,401289009,Los Angeles Dodgers,Arizona Diamondbacks,66,0.068720
MLB,MLB,2021,2021-03-18,401289010,401289010,Milwaukee Brewers,Los Angeles Angels,65,0.050540
MLB,MLB,2021,2021-03-18,401289011,401289011,Oakland Athletics,San Diego Padres,81,0.061100
MLB,MLB,2021,2021-03-18,401289004,401289004,Miami Marlins,St. Louis Cardinals,78,0.082140
MLB,MLB,2021,2021-03-18,401289007,401289007,Cincinnati Reds,Texas Rangers,88,0.073820
MLB,MLB,2021,2021-03-18,401289012,401289012,Seattle Mariners,San Francisco Giants,79,0.069920
MLB,MLB,2021,2021-03-19,401289017,401289017,Tampa Bay Rays,Boston Red Sox,47,0.058340
MLB,MLB,2021,2021-03-19,401289018,401289018,Toronto Blue Jays,Detroit Tigers,41,0.010720
MLB,MLB,2021,2021-03-19,401289016,401289016,St. Louis Cardinals,New York Mets,50,0.019540
MLB,MLB,2021,2021-03-19,401289020,401289020,Los Angeles Angels,Kansas City Royals,70,0.067040
MLB,MLB,2021,2021-03-19,401289023,401289023,Chicago Cubs,Oakland Athletics,17,0.015060
MLB,MLB,2021,2021-03-19,401289026,401289026,Texas Rangers,Los Angeles Dodgers,82,0.019240
MLB,MLB,2021,2021-03-19,401289021,401289021,Arizona Diamondbacks,Milwaukee Brewers,18,0.029580
MLB,MLB,2021,2021-03-19,401289025,401289025,Cleveland Indians,Colorado Rockies,73,0.046940
MLB,MLB,2021,2021-03-19,401289013,401289013,Baltimore Orioles,Pittsburgh Pirates,18,0.042660
MLB,MLB,2021,2021-03-19,401289014,401289014,Minnesota Twins,Atlanta Braves,69,0.052800
MLB,MLB,2021,2021-03-19,401289019,401289019,Washington Nationals,Houston Astros,93,0.094460
MLB,MLB,2021,2021-03-19,401289015,401289015,Philadelphia Phillies,New York Yankees,72,0.065460
MLB,MLB,2021,2021-03-19,401289022,401289022,Chicago White Sox,Seattle Mariners,81,0.067500
MLB,MLB,2021,2021-03-19,401289024,401289024,Cincinnati Reds,San Francisco Giants,79,0.038280
MLB,MLB,2021,2021-03-20,401289027,401289027,Boston Red Sox,Atlanta Braves,75,0.043500
MLB,MLB,2021,2021-03-20,401289028,401289028,Houston Astros,St. Louis Cardinals,70,0.055900
MLB,MLB,2021,2021-03-20,401289031,401289031,Pittsburgh Pirates,Detroit Tigers,66,0.058920
MLB,MLB,2021,2021-03-20,401289033,401289033,Toronto Blue Jays,Philadelphia Phillies,72,0.067500
MLB,MLB,2021,2021-03-20,401289034,401289034,Cleveland Indians,Chicago White Sox,78,0.022580
MLB,MLB,2021,2021-03-20,401289035,401289035,Colorado Rockies,Chicago Cubs,63,0.035540
MLB,MLB,2021,2021-03-20,401289036,401289036,Kansas City Royals,Arizona Diamondbacks,78,0.068000
MLB,MLB,2021,2021-03-20,401289037,401289037,Los Angeles Dodgers,San Diego Padres,80,0.063380
MLB,MLB,2021,2021-03-20,401289039,401289039,Oakland Athletics,Los Angeles Angels,82,0.023440
MLB,MLB,2021,2021-03-20,401289029,401289029,Miami Marlins,Washington Nationals,80,0.059040
MLB,MLB,2021,2021-03-20,401289030,401289030,New York Yankees,Baltimore Orioles,65,0.054820
MLB,MLB,2021,2021-03-20,401289032,401289032,Tampa Bay Rays,Minnesota Twins,60,0.047060
MLB,MLB,2021,2021-03-20,401289038,401289038,Milwaukee Brewers,Cincinnati Reds,74,0.033940
MLB,MLB,2021,2021-03-20,401289040,401289040,Seattle Mariners,Texas Rangers,72,0.057840
MLB,MLB,2021,2021-03-21,401289041,401289041,Atlanta Braves,Tampa Bay Rays,75,0.024640
MLB,MLB,2021,2021-03-21,401289042,401289042,Detroit Tigers,Philadelphia Phillies,75,0.053960
MLB,MLB,2021,2021-03-21,401289043,401289043,Houston Astros,Miami Marlins,66,0.057880
MLB,MLB,2021,2021-03-21,401289044,401289044,Minnesota Twins,Baltimore Orioles,82,0.052380
MLB,MLB,2021,2021-03-21,401289046,401289046,New York Mets,Washington Nationals,79,0.035120
MLB,MLB,2021,2021-03-21,401289047,401289047,Pittsburgh Pirates,Boston Red Sox,72,0.036020
MLB,MLB,2021,2021-03-21,401289045,401289045,New York Yankees,Toronto Blue Jays,75,0.020840
MLB,MLB,2021,2021-03-21,401289050,401289050,Cincinnati Reds,Chicago Cubs,78,0.048540
MLB,MLB,2021,2021-03-21,401289051,401289051,Colorado Rockies,Kansas City Royals,75,0.035040
MLB,MLB,2021,2021-03-21,401289053,401289053,San Francisco Giants,Los Angeles Dodgers,78,0.054720
MLB,MLB,2021,2021-03-21,401289054,401289054,Texas Rangers,Cleveland Indians,75,0.015440
MLB,MLB,2021,2021-03-21,401289048,401289048,Los Angeles Angels,San Diego Padres,71,0.031560
MLB,MLB,2021,2021-03-21,401289049,401289049,Chicago White Sox,Arizona Diamondbacks,74,0.048920
MLB,MLB,2021,2021-03-21,401289052,401289052,Seattle Mariners,Milwaukee Brewers,68,0.053300
MLB,MLB,2021,2021-03-22,401289055,401289055,Atlanta Braves,Minnesota Twins,68,0.026460
MLB,MLB,2021,2021-03-22,401289056,401289056,Baltimore Orioles,Pittsburgh Pirates,67,0.057420
MLB,MLB,2021,2021-03-22,401289057,401289057,Boston Red Sox,Tampa Bay Rays,82,0.035320
MLB,MLB,2021,2021-03-22,401289059,401289059,New York Mets,Houston Astros,74,0.037320
MLB,MLB,2021,2021-03-22,401289061,401289061,St. Louis Cardinals,Miami Marlins,71,0.050100
MLB,MLB,2021,2021-03-22,401289062,401289062,Arizona Diamondbacks,Oakland Athletics,69,0.063720
MLB,MLB,2021,2021-03-22,401289065,401289065,Milwaukee Brewers,Cleveland Indians,76,0.043260
MLB,MLB,2021,2021-03-22,401289066,401289066,San Diego Padres,Kansas City Royals,84,0.090260
MLB,MLB,2021,2021-03-22,401289067,401289067,San Francisco Giants,Chicago White Sox,77,0.013600
MLB,MLB,2021,2021-03-22,401289063,401289063,Chicago Cubs,Los Angeles Angels,92,0.018220
MLB,MLB,2021,2021-03-22,401289068,401289068,Texas Rangers,Colorado Rockies,77,0.082380
MLB,MLB,2021,2021-03-22,401289060,401289060,Philadelphia Phillies,New York Yankees,70,0.040100
MLB,MLB,2021,2021-03-22,401289058,401289058,Detroit Tigers,Toronto Blue Jays,67,0.067100
MLB,MLB,2021,2021-03-22,401289064,401289064,Los Angeles Dodgers,Seattle Mariners,75,0.047000
MLB,MLB,2021,2021-03-23,401289069,401289069,Boston Red Sox,Atlanta Braves,76,0.055320
MLB,MLB,2021,2021-03-23,401289071,401289071,Minnesota Twins,Pittsburgh Pirates,62,0.051820
MLB,MLB,2021,2021-03-23,401289072,401289072,New York Yankees,Detroit Tigers,83,0.083160
MLB,MLB,2021,2021-03-23,401289073,401289073,Tampa Bay Rays,Baltimore Orioles,67,0.045620
MLB,MLB,2021,2021-03-23,401289075,401289075,Washington Nationals,St. Louis Cardinals,75,0.057880
MLB,MLB,2021,2021-03-23,401289070,401289070,Miami Marlins,New York Mets,70,0.055820
MLB,MLB,2021,2021-03-23,401289076,401289076,Los Angeles Angels,Texas Rangers,79,0.065080
MLB,MLB,2021,2021-03-23,401289077,401289077,Chicago White Sox,Chicago Cubs,71,0.067460
MLB,MLB,2021,2021-03-23,401289079,401289079,Colorado Rockies,Oakland Athletics,69,0.034980
