sport,league,season_year,date,event_id,competition_id,away_team,home_team,num_wp_points,ei_raw
NBA,NBA,2021,2021-10-15,401365950,401365950,Boston Celtics,Miami Heat,465,0.209620
NBA,NBA,2021,2021-10-15,401365951,401365951,Philadelphia 76ers,Detroit Pistons,455,0.203960
NBA,NBA,2021,2021-10-15,401365952,401365952,Cleveland Cavaliers,Indiana Pacers,453,0.095640
NBA,NBA,2021,2021-10-15,401365953,401365953,Washington Wizards,New York Knicks,490,0.163680
NBA,NBA,2021,2021-10-15,401365954,401365954,Memphis Grizzlies,Chicago Bulls,485,0.228280
NBA,NBA,2021,2021-10-15,401365955,401365955,Dallas Mavericks,Milwaukee Bucks,466,0.103620
NBA,NBA,2021,2021-10-15,401365956,401365956,Houston Rockets,San Antonio Spurs,544,0.129040
NBA,NBA,2021,2021-10-15,401365957,401365957,Portland Trail Blazers,Golden State Warriors,487,0.129260
NBA,NBA,2021,2021-10-19,401358773,401358773,Brooklyn Nets,Milwaukee Bucks,487,0.119120
NBA,NBA,2021,2021-10-19,401358774,401358774,Golden State Warriors,Los Angeles Lakers,508,0.217540
NBA,NBA,2021,2021-10-20,401359833,401359833,Indiana Pacers,Charlotte Hornets,530,0.262500
NBA,NBA,2021,2021-10-20,401359834,401359834,Chicago Bulls,Detroit Pistons,450,0.249120
NBA,NBA,2021,2021-10-20,401358775,401358775,Boston Celtics,New York Knicks,579,0.322800
NBA,NBA,2021,2021-10-20,401359835,401359835,Washington Wizards,Toronto Raptors,514,0.083600
NBA,NBA,2021,2021-10-20,401359836,401359836,Cleveland Cavaliers,Memphis Grizzlies,465,0.150960
NBA,NBA,2021,2021-10-20,401359837,401359837,Houston Rockets,Minnesota Timberwolves,502,0.048000
NBA,NBA,2021,2021-10-20,401359838,401359838,Philadelphia 76ers,New Orleans Pelicans,431,0.138540
NBA,NBA,2021,2021-10-20,401359839,401359839,Orlando Magic,San Antonio Spurs,485,0.099800
NBA,NBA,2021,2021-10-20,401359840,401359840,Oklahoma City Thunder,Utah Jazz,470,0.039060
NBA,NBA,2021,2021-10-20,401358776,401358776,Denver Nuggets,Phoenix Suns,435,0.168900
NBA,NBA,2021,2021-10-20,401359841,401359841,Sacramento Kings,Portland Trail Blazers,496,0.195400
NBA,NBA,2021,2021-10-21,401358777,401358777,Dallas Mavericks,Atlanta Hawks,462,0.109200
NBA,NBA,2021,2021-10-21,401359842,401359842,Milwaukee Bucks,Miami Heat,517,0.049260
NBA,NBA,2021,2021-10-21,401358778,401358778,LA Clippers,Golden State Warriors,489,0.257900
NBA,NBA,2021,2021-10-22,401359843,401359843,Charlotte Hornets,Cleveland Cavaliers,461,0.168860
NBA,NBA,2021,2021-10-22,401359844,401359844,New York Knicks,Orlando Magic,440,0.036980
NBA,NBA,2021,2021-10-22,401359845,401359845,Indiana Pacers,Washington Wizards,486,0.282060
NBA,NBA,2021,2021-10-22,401358779,401358779,Brooklyn Nets,Philadelphia 76ers,459,0.215860
NBA,NBA,2021,2021-10-22,401359846,401359846,Toronto Raptors,Boston Celtics,477,0.145060
NBA,NBA,2021,2021-10-22,401359847,401359847,New Orleans Pelicans,Chicago Bulls,453,0.070460
NBA,NBA,2021,2021-10-22,401359848,401359848,Oklahoma City Thunder,Houston Rockets,482,0.069400
NBA,NBA,2021,2021-10-22,401359849,401359849,San Antonio Spurs,Denver Nuggets,448,0.168060
NBA,NBA,2021,2021-10-22,401358780,401358780,Phoenix Suns,Los Angeles Lakers,488,0.096620
NBA,NBA,2021,2021-10-22,401359850,401359850,Utah Jazz,Sacramento Kings,509,0.276580
NBA,NBA,2021,2021-10-23,401359851,401359851,Atlanta Hawks,Cleveland Cavaliers,494,0.218980
NBA,NBA,2021,2021-10-23,401359852,401359852,Miami Heat,Indiana Pacers,512,0.271360
NBA,NBA,2021,2021-10-23,401359853,401359853,Dallas Mavericks,Toronto Raptors,473,0.182220
NBA,NBA,2021,2021-10-23,401359854,401359854,Detroit Pistons,Chicago Bulls,467,0.087440
NBA,NBA,2021,2021-10-23,401359855,401359855,New Orleans Pelicans,Minnesota Timberwolves,515,0.185440
NBA,NBA,2021,2021-10-23,401359856,401359856,Milwaukee Bucks,San Antonio Spurs,469,0.190680
NBA,NBA,2021,2021-10-23,401359857,401359857,Phoenix Suns,Portland Trail Blazers,440,0.068580
NBA,NBA,2021,2021-10-23,401359858,401359858,Memphis Grizzlies,LA Clippers,471,0.192560
NBA,NBA,2021,2021-10-24,401359859,401359859,Charlotte Hornets,Brooklyn Nets,468,0.172100
NBA,NBA,2021,2021-10-24,401359860,401359860,Orlando Magic,New York Knicks,518,0.184700
NBA,NBA,2021,2021-10-24,401359861,401359861,Boston Celtics,Houston Rockets,446,0.138520
NBA,NBA,2021,2021-10-24,401359862,401359862,Philadelphia 76ers,Oklahoma City Thunder,438,0.098160
NBA,NBA,2021,2021-10-24,401359863,401359863,Golden State Warriors,Sacramento Kings,463,0.235460
NBA,NBA,2021,2021-10-24,401359864,401359864,Memphis Grizzlies,Los Angeles Lakers,492,0.295100
NBA,NBA,2021,2021-10-25,401359865,401359865,Boston Celtics,Charlotte Hornets,543,0.318140
NBA,NBA,2021,2021-10-25,401359866,401359866,Milwaukee Bucks,Indiana Pacers,506,0.145060
NBA,NBA,2021,2021-10-25,401359867,401359867,Detroit Pistons,Atlanta Hawks,450,0.082040
NBA,NBA,2021,2021-10-25,401359868,401359868,Washington Wizards,Brooklyn Nets,498,0.078560
NBA,NBA,2021,2021-10-25,401359869,401359869,Orlando Magic,Miami Heat,456,0.066400
NBA,NBA,2021,2021-10-25,401359870,401359870,Chicago Bulls,Toronto Raptors,445,0.170960
NBA,NBA,2021,2021-10-25,401359871,401359871,New Orleans Pelicans,Minnesota Timberwolves,491,0.168340
NBA,NBA,2021,2021-10-25,401359872,401359872,Cleveland Cavaliers,Denver Nuggets,464,0.200900
NBA,NBA,2021,2021-10-25,401359873,401359873,Portland Trail Blazers,LA Clippers,476,0.058680
