sport,league,season_year,date,event_id,competition_id,away_team,home_team,num_wp_points,ei_raw
NCAAF,NCAAF,2021,8/28/2021,401282714,401282714,Nebraska Cornhuskers,Illinois Fighting Illini,177,0.057612
NCAAF,NCAAF,2021,8/28/2021,401286187,401286187,UConn Huskies,Fresno State Bulldogs,188,0.006862
NCAAF,NCAAF,2021,8/28/2021,401309833,401309833,Hawai'i Rainbow Warriors,UCLA Bruins,181,0.00656
NCAAF,NCAAF,2021,8/28/2021,401282049,401282049,UTEP Miners,New Mexico State Aggies,190,0.0281
NCAAF,NCAAF,2021,9/1/2021,401282050,401282050,UAB Blazers,Jacksonville State Gamecocks,159,0.017616
NCAAF,NCAAF,2021,9/2/2021,401282789,401282789,Ohio State Buckeyes,Minnesota Golden Gophers,154,0.057052
NCAAF,NCAAF,2021,9/2/2021,401309834,401309834,Weber State Wildcats,Utah Utes,169,0.02298
NCAAF,NCAAF,2021,9/2/2021,401309835,401309835,Southern Utah Thunderbirds,Arizona State Sun Devils,150,0.002162
NCAAF,NCAAF,2021,9/2/2021,401300995,401300995,Boise State Broncos,UCF Knights,184,0.11992
NCAAF,NCAAF,2021,9/2/2021,401309540,401309540,Western Illinois Leathernecks,Ball State Cardinals,175,0.026062
NCAAF,NCAAF,2021,9/2/2021,401309542,401309542,Wagner Seahawks,Buffalo Bulls,353,0.005604
NCAAF,NCAAF,2021,9/2/2021,401282607,401282607,South Florida Bulls,NC State Wolfpack,165,0.008626
NCAAF,NCAAF,2021,9/2/2021,401300993,401300993,East Carolina Pirates,Appalachian State Mountaineers,172,0.023102
NCAAF,NCAAF,2021,9/2/2021,401281952,401281952,Bowling Green Falcons,Tennessee Volunteers,195,0.007486
NCAAF,NCAAF,2021,9/2/2021,401282180,401282180,UT Martin Skyhawks,Western Kentucky Hilltoppers,172,0.020196
NCAAF,NCAAF,2021,9/3/2021,401309937,401309937,North Carolina Tar Heels,Virginia Tech Hokies,155,0.065952
NCAAF,NCAAF,2021,9/3/2021,401282052,401282052,Duke Blue Devils,Charlotte 49ers,178,0.155704
NCAAF,NCAAF,2021,9/3/2021,401287888,401287888,South Dakota Coyotes,Kansas Jayhawks,177,0.111674
NCAAF,NCAAF,2021,9/3/2021,401282782,401282782,Michigan State Spartans,Northwestern Wildcats,180,0.045482
NCAAF,NCAAF,2021,9/3/2021,401309836,401309836,Northern Colorado Bears,Colorado Buffaloes,150,0.006614
NCAAF,NCAAF,2021,9/4/2021,401281942,401281942,Alabama Crimson Tide,Miami Hurricanes,179,0.010046
NCAAF,NCAAF,2021,9/4/2021,401287894,401287894,Tulane Green Wave,Oklahoma Sooners,196,0.092176
NCAAF,NCAAF,2021,9/4/2021,401281946,401281946,Georgia Bulldogs,Clemson Tigers,169,0.076572
NCAAF,NCAAF,2021,9/4/2021,401282053,401282053,Kent State Golden Flashes,Texas A&M Aggies,188,0.0111
NCAAF,NCAAF,2021,9/4/2021,401287887,401287887,Northern Iowa Panthers,Iowa State Cyclones,156,0.03887
NCAAF,NCAAF,2021,9/4/2021,401309838,401309838,Fresno State Bulldogs,Oregon Ducks,188,0.071908
NCAAF,NCAAF,2021,9/4/2021,401282815,401282815,Penn State Nittany Lions,Wisconsin Badgers,173,0.133208
NCAAF,NCAAF,2021,9/4/2021,401281945,401281945,Florida Atlantic Owls,Florida Gators,188,0.007768
NCAAF,NCAAF,2021,9/4/2021,401282723,401282723,Indiana Hoosiers,Iowa Hawkeyes,167,0.021398
NCAAF,NCAAF,2021,9/4/2021,401309839,401309839,Montana Grizzlies,Washington Huskies,171,0.054416
NCAAF,NCAAF,2021,9/4/2021,401287892,401287892,Louisiana Ragin' Cajuns,Texas Longhorns,173,0.026238
